Product Name,Brand,Price,Reviews,Rating,BSR,Listing Health,Is Sponsored,Position,Issue Flag
"Circular and Co Leakproof Reusable Coffee Cup 8oz/227ml - The World's First Travel Mug Made from Recycled Coffee Cups, 100% Leak-Proof, Sustainable & Insulated. (Black & Faraway Blue)",Circular and Co,79.32,184,4.3,2595,8,NO,15,OK
"Owala SmoothSip Insulated Stainless Steel Coffee Tumbler, Reusable Iced Coffee Cup, Hot Coffee Travel Mug, BPA Free, 10 oz, White (Cloudscape)",Owala,76.86,244,4.5,3152,7.05,NO,17,OK
"STANLEY "" Classic Legendary Camp Mug 0.35L / 12 OZ Matte Black - Double-wall vacuum insulation | Stainless steel camp mug | BPA-free thermal cup | Dishwasher safe | Single server brewer compatible """,STANLEY,130.13,218,4.6,3511,9,NO,19,OK
"TEFAL 0.36 Litre Travel Mug , Blue, Stainless Steel/Plastic, K3082114",Tefal,99,126,4.4,3757,8,NO,21,OK
"BuyOn Travel Coffee Mug Stainless Steel Double Wall Vacuum Modern Hydro Flask Hot and Cold Coffee Drinks Insulated Tumbler with Leakproof Lid for Home Office Gym Outdoor Works (GOLD, 500ML)",BuyOn,30.99,16,4,3831,10,NO,22,OK
"ELECDON Coffee Mug, 22 Oz Stainless Steel Insulated Coffee Mug with Handle, Double Wall Vacuum Travel Mug, Tumbler Cup with Sliding Lid, for Hot and Cold Drinks Tea (22Oz - Dark Blue)",ELECDON,59.88,5,4.3,4145,6.5,NO,24,OK
"Owala SmoothSip Slider Insulated Stainless Steel Coffee Tumbler, Reusable Iced Coffee Cup, Hot Coffee Travel Mug, BPA Free 12 oz, Grey/Brown (Cozy Cocoa)",Owala,96.09,325,4.6,4448,5,NO,26,OK
PARACITY Insulated Coffee Mug Stainless Steel Coffee Mug with Lid Handle Double Wall Vacuum Travel Mug Camping Tumbler Cup Men Women 12 oz (Black),PARACITY,26.87,513,4.3,4807,7.5,NO,27,OK
"Minecraft Insulated Tumbler Travel Mug 940ml/33oz Creeper Water Bottle with Straw & Handle Thermal Double Wall Vacuum Insulation Drinks Cold Up to 17Hrs, Hot Up to 8Hrs, 45Hrs Ice",Minecraft,94.49,42,4.4,4952,9.4,NO,28,OK
"Tefal Travel Mug Classic red 0.36L, Comfort Screw Lid, Quick Press, Soft-Touch Sleeve, Travel-Ready, Reusable, 100% Leak-Proof, Keeps Drinks Cold (8 hrs) and Hot (4 hrs), 360° Drinking, N2020410",Tefal,111.6,9,4.5,5667,5.5,NO,30,OK
"Fellow Carter Move Travel Mug - Vacuum-Insulated Stainless Steel Coffee and Tea Tumbler with Ceramic Interior and Splash Guard, Matte Grey, 12 oz Cup",Fellow,104,1001,4.5,5108,7.5,NO,31,OK
Zojirushi SM-KHE36AG Stainless Steel Mug 16 oz Pink SM-KHE48PT,ZOJIRUSHI,137.26,11154,4.6,5213,7.55,NO,32,OK
"AT SET HOME Black Insulated Coffee Mug 380ml | 304 Stainless Steel Travel Mug for Hot & Cold Beverages | Leak-Proof Lid | Ideal for Coffee, Beer, Water | Perfect for Home, Office, & Outdoor Use.",AT SET HOME,27.99,0,0,5215,6,NO,33,No reviews; No rating;
"Contigo West Loop Autoseal Thermal Mug, Stainless Steel Insulated Mug, Coffee Mug To Go, BPA free, leak proof travel mug with easy-clean lid, keeps drinks hot for up to 5h, 470 ml",Contigo,112.69,187,4.6,5376,8.55,NO,35,OK
"Volhoply 14oz Insulated Stainless Steel Coffee Mug with Lid Bulk 2 Pack,Double Wall Vacuum Travel Coffee Cup with Handle,Reusable Metal Cups Tumbler,Camping Mugs Keep Hot,Ideal Gifts(Gray,2 Set)",Volhoply,98.39,186,4.6,5546,8,NO,36,OK
"SILVIX | 500 ML COFFEE CUP STAINLESS STEEL | Vacuum Insulated Travel Mug for Home, Office and Outdoor Works | for Ice Drinks and Hot Beverage | for Adults and Kids (Black)",SILVIX,32,7,4.3,5862,8,NO,40,OK
"Insulated Coffee Mug With Lid, Stainless Steel Coffee Mug With Ceramic Inner Coating, Splash Resistant Lid, Insulated Mug Coffee Cup For Hot And Cold Drinks (280ml)",NALACAL,89.99,0,0,5994,7,NO,41,No reviews; No rating;
"Necomi® Travel Coffee Mug 510ml, Vacuum Insulated Travel Coffee Mug Stainless Steel Coffee Tumbler for Home Office Outdoor Works Great for Ice Drinks and Hot Beverage",Necomi,29.69,122,4.2,6022,10,NO,42,OK
"AREXA 17oz Vacuum-Insulated Stainless Steel Travel Coffee Mug, Leak-Proof Reusable Coffee Cup with Lid – Keeps Hot & Cold Drinks for Hours, Durable Thermos Tumbler for Men & Women, كوب قهوة مع غطاء",AREXA,34.99,2,5,6570,9,NO,43,OK
"Contigo SNAPSEAL Insulated Stainless Steel Travel Mug with Grip, 20oz., Blue Corn Transparent Satin & Midnight Berry",Contigo,115.3,706,4.6,6673,7,NO,44,OK
Akozon 450ml Car Electric Mug Stainless Steel Travel Heating Cup Coffee Tea Insulated Heated with Cigarette Lighter Cable,Akozon,23,20,3.4,7156,4.7,NO,46,OK
"CLOUDFOUR Insulated Coffee Cup, 510 ml Thermal Tumbler for Hot & Cold Beverage, Reusable Vacuum Stainless Steel Travel Mug for Tea & Ice Drinks, Perfect for Office, Home, School, Outdoor & Car (Blue)",CLOUDFOUR,24.99,3,5,7337,7,NO,47,OK
"Father's Day Travel Mug for Best Dad Ever - Best Gifts Dad - Birthday Gifts from Daughter Son - Gifts for Dad - Stainless Steel, 14oz (Design 4)",Generic,47,0,4.2,7561,7.05,NO,48,No reviews;
"Eva Solo Thermal Mug 350ml – Insulated Stainless Steel Travel Mug, Leak-Proof, Keeps Drinks Hot & Cold, One-Hand Easy Lid, Portable Reusable Coffee Cup – Chocolate Brown (Sage)",B&S,157.89,0,0,-,6,YES,1,No reviews; No rating;
"Traveland Coffee Mug Travel in Stainless Steel - 510 ml - Leak & BPA Free Lid - Perfect Thermal Mug For Ice Coffee, Hot Brews & Fresh Juices Anywhere - Green",Traveland,48.99,30,4.3,621,10,YES,2,OK
"THERMOS ICON STAINLESS STEEL VACUUM INSULATED SADDLE TUMBLER 470 ML, IS1012SD, TRAVEL MUG, TUMBLER WITH HANDLE, COFFEE MUG",THERMOS,149,125,4.6,2238,7.4,YES,3,OK
"ESOLS Travel Coffee Mug, Double-wall Stainless Steel Thermal Cup, Vacuum Insulated Thermos with Tea Infuser and Leak Proof Twist Lid, 500 ML (Champagne)",ESOLS,99.15,22,4.3,1926,9,YES,4,OK
"Owala SmoothSip Slider Insulated Stainless Steel Coffee Tumbler, Reusable Iced Coffee Cup, Hot Coffee Travel Mug, BPA Free 20 oz, Tan/White (Vanilla Bean)",Owala,115.3,1500,4.6,173,7.55,NO,5,OK
"AMERTEER 17oz Travel Coffee Mug, Insulated Stainless Steel Tumbler With Leakproof Spill-Proof Lid, Double-Walled Vacuum Cup For Hot & Cold Drinks, Reusable Coffee Mug For Men & Women (Blue)",AMERTEER,17.99,6,4.7,129,8,NO,6,OK
"bottlebottle Insulated Travel Mug, Stainless Steel, 350ml, Push Button Lid, Keeps Cold for 12 Hours, Keeps Hot for 8 Hours, Stylish Design (Pink)",BOTTLE BOTTLE,53.99,0,4.4,271,7.3,NO,7,No reviews;
"Traveland Coffee Mug Travel in Stainless Steel 510ml - Coffee Tumbler with Leak & BPA Free Lid - Perfect Thermal Mug for Ice Coffee, Hot Brews, Fresh Juices Anywhere - Red Hearts",Traveland,24.5,30,4.3,532,10,YES,8,OK
"GEMFUL Travel Coffee Mug Stainless Steel Vacuum Ice and Hot Drinks Insulated Tumbler for Home Office Outdoor Works, 510ml, Green",GEMFUL,41.64,1107,4.2,341,9.5,YES,9,OK
"ELECDON 12oz Stainless Steel Insulated Coffee Mug with Handle, Double Wall Vacuum Travel Mug, Tumbler Cup with Sliding Lid, for Hot and Cold Drinks Tea (Black)",ELECDON,44.89,1,4,19949,9,YES,11,OK
"Necomi® Travel Coffee Mug 510ml, Vacuum Insulated Travel Coffee Mug Stainless Steel Coffee Tumbler for Home Office Outdoor Works Great for Ice Drinks and Hot Beverage",Necomi,29.69,122,4.2,6022,10,YES,12,OK
"Borosil Coffeemate Insulated Mug, Vacuum Insulated Travel Coffee Mug with Lid, 8 Hours Hot and 14 Hours Cold, 300 ml (Stainless Steel)",Borosil,45.15,2000,4,511,9.5,NO,13,OK
"Puraville Insulated Tumblers with Lid, 10 oz Travel Coffee Mug Stainless Steel Vacuum Cup, Leak Proof Reusable Double Walled Coffee Tumbler for Iced and Hot Drinks, Cream",Puraville,23.75,711,4.2,429,8,NO,14,OK
"GEMFUL Travel Coffee Mug Stainless Steel Vacuum Ice and Hot Drinks Insulated Tumbler for Home Office Outdoor Works, 510ml, 2 Pack",GEMFUL,71.99,1107,4.2,201,9.5,NO,15,OK
"THERMOS STAINLESS STEEL VACUUM INSULATED STEEL TUMBLER 470 ML, SK1005MS, TRAVEL TUMBLER, INSULATED CUP, TUMBLER WITH HANDLE",THERMOS,109,1396,4.5,964,8,NO,16,OK
"STANLEY "" Classic Legendary Camp Mug 0.35L / 12 OZ Hammertone Green - Vacuum insulated Tumbler | Stainless steel camp mug | BPA-free thermal cup | Dishwasher safe | Single server brewer compatible """,STANLEY,176.91,464,4.6,3511,10,NO,17,OK
"YINBAOGE Insulated Travel Coffee Mug, Spill & Leak Proof, Portable To Go Camping Stainless Steel Coffee Tumbler, Reusable Thermal Coffee Cup with Lid for Hot & Cold Drinks (Black, 12 OZ)",YINBAOGE,29.99,652,4.5,2164,8.8,NO,18,OK
"MILTON 300ml Vacuum Insulated Travel Coffee Mug with Strainer & Lid, Keeps Drinks Hot & Cold, 18/8 Stainless Steel Tumbler, Double-Walled Thermos Flask with Inner Copper Coating for Cappuccino - Black",MILTON,43.5,136,4.1,2094,9,NO,19,OK
"OTE 220ml Mini Coffee Travel Mug, Double Walled Coffee Cup Vacuum Insulated Stainless Steel with Leakproof Lid, Reusable Coffee Cups, BPA-Free, Mug/to Go Cups for Hot Cold Drinks (Gray)",OTE,85,2,5,2543,8,NO,20,OK
"OTE 1.2L Tumbler with Handle and Straw Lid, Double Walled Vacuum Stainless Steel Insulated Travel Coffee Mug, BPA Free, Keeps Drinks Cold or Hot (Red)",OTE,129,1,5,4506,8,NO,21,OK
"GEMFUL Travel Coffee Mug Stainless Steel Vacuum Ice and Hot Drinks Insulated Tumbler for Home Office Outdoor Works, 510ml, Black",GEMFUL,41.64,288,4.4,201,9.5,NO,22,OK
"Contigo Huron Insulated Stainless Steel Travel Mug with SnapSeal Lid, 16oz Licorice",Contigo,67.56,21888,4.5,20260,5.95,NO,23,OK
"MILTON 400ml Vacuum Insulated Travel Coffee Mug with Straw & Lid, Keeps Drinks Hot & Cold for 10 Hours, 18/8 Stainless Steel Tumbler, Double-Walled Thermos Flask for Tea, Cappuccino - Clifton - Black",MILTON,34.95,45,4.4,1514,9,NO,24,OK
PARACITY Insulated Coffee Mug Stainless Steel Coffee Mug with Lid Handle Double Wall Vacuum Travel Mug Camping Tumbler Cup Men Women 12 oz (Black),PARACITY,26.87,513,4.3,4807,7.5,NO,25,OK
"Tumbler with Straw, 20.1 fl oz (600 ml), Vacuum Insulated Stainless Steel Water Bottle, Thermal Insulation, Wide Mouth Leak-Proof Large Capacity,Durable Travel Cup for Hot and Cold Drinks",Generic,45,0,0,194227,6,YES,26,No reviews; No rating;
"THERMOS ICON STAINLESS STEEL VACUUM INSULATED SANDSTONE BOTTLE 710ML, IS2002SN, THERMAL BOTTLE, THERMOS BOTTLE, TRAVEL FLASK",THERMOS,139,0,5,7484,7,YES,27,No reviews;
"THERMOS ICON STAINLESS STEEL VACUUM INSULATED SANDSTONE BOTTLE WITH SPOUT 710ML, IS2202SN, THERMAL BOTTLE, THERMOS BOTTLE, TRAVEL FLASK",THERMOS,137.98,24,4.5,15259,7.5,YES,28,OK
"Insulated Stainless Steel Travel Mug Keep Drinks Hot or Cold for Hours Perfect for Camping Travel Water Bottle, 300ml (Peony)",Generic,32,2,5,3267,6,YES,29,OK
"Unbreakable Travel Mug, Insulated Coffee Mug, Insulated Tumbler, 450mL, Stainless Steel, 10 Hours Cold/8 Hours Hot, Elegant Design, Light Weight, Office Use, out door and In door (White)",i diD,85,3,5,14902,7.8,NO,30,OK
"Owala SmoothSip Slider Insulated Stainless Steel Coffee Tumbler, Reusable Iced Coffee Cup, Hot Coffee Travel Mug, BPA Free 12 oz, Pink/Tan (Daybreak)",Owala,96.09,22,4.4,2284,7.5,NO,31,OK
"SILVIX | 500 ML COFFEE CUP STAINLESS STEEL | Vacuum Insulated Travel Mug for Home, Office and Outdoor Works | for Ice Drinks and Hot Beverage | for Adults and Kids (Black)",SILVIX,32,7,4.3,5862,8,NO,32,OK
SimplyLivin. Premium Tumbler with Lid and Straw | 480ml (16oz) | Hot and Cold Drinks | Leak Proof | Travel Mug | Coffee Cup | Double Wall Stainless Steel | Unique Packaging for Gifts | Coffee Brown,SimplyLivin.,59.99,18,4.7,1372,9,NO,33,OK
"THERMOS ICON STAINLESS STEEL VACUUM INSULATED SANDSTONE TUMBLER 470 ML, IS1012SN, TRAVEL MUG, TUMBLER WITH HANDLE, COFFEE MUG",THERMOS,149,125,4.6,2238,8.5,NO,34,OK
Simple Modern Travel Coffee Mug Tumbler with 360° Lid | Ceramic-Lined Insulated Stainless Steel Cold Brew Iced Coffee Cup Thermos | Gift for Women Men Her Him | Voyager Signature | 16oz | Almond Birch,Simple Modern,134.53,571,4.3,4767,9,NO,35,OK
"EcoOak Travel Coffee Mug | Reusable Insulated Coffee Mug | 350ml|12oz | Stainless Steel Coffee Tumbler, Gifts for Women Men Him Her (1, White)",EcoOak,32.99,42,4.3,557,8.5,NO,37,OK
"Contigo Byron Snapseal Travel Mug, Stainless Steel Thermal Mug, Vacuum Flask, Leakproof Tumbler, Coffee Mug With Bpa Free Easy-Clean Lid, 470 ml, Gunmetal",Contigo,70.77,3499,4.4,23620,9,NO,38,OK
"THERMOS Stainless King Vacuum-Insulated Travel Mug, 16 Ounce, Midnight Blue",THERMOS,129,655,4.5,5179,8,NO,39,OK
"Circular and Co Leakproof Reusable Coffee Cup 8oz/227ml - The World's First Travel Mug Made from Recycled Coffee Cups, 100% Leak-Proof, Sustainable & Insulated. (Cream & Cosmic Black)",Circular and Co,60,184,4.3,2595,8,NO,40,OK
"Traveland Coffee Mug Travel in Stainless Steel - 510 ml Coffee Tumbler - Leak & BPA Free Lid - Perfect Thermal Mug For Ice Coffee, Hot Brews & Fresh Juices Anywhere - Brown",Traveland,34.29,30,4.3,621,10,NO,41,OK
Excefore Double Wall Glass Coffee Mug with Silicone Lid - 15oz Insulated Cup for Hot and Cold Drinks - High Borosilicate Glass Double Walled Cup for Travel and Home Use (Grey),Excefore,47.59,0,5,2156,8,NO,42,No reviews;
"TEFAL 0.36 Litre Travel Mug , Blue, Stainless Steel/Plastic, K3082114",Tefal,99,126,4.4,3757,8,NO,43,OK
"Yaybo 360ml Stainless Steel Vacuum Insulated Coffee Mug with Spoon - Double Walled Travel Tumbler, Leak-Proof Travel Mug, BPA-Free, Flip-Top Lid, Keeps Drinks Hot 5h/Cold 8h (White)",Yaybo,62.99,10,4.8,2564,9,NO,44,OK
"AT SET HOME Black Insulated Coffee Mug 380ml | 304 Stainless Steel Travel Mug for Hot & Cold Beverages | Leak-Proof Lid | Ideal for Coffee, Beer, Water | Perfect for Home, Office, & Outdoor Use.",AT SET HOME,27.99,0,0,5215,6,NO,45,No reviews; No rating;
"ZeroSpace Travel Coffee Mug, Stainless Steel Coffee Tumbler, Double Wall Vacuum Hot and Cold Insulated Coffee Mug for Home Travel Office Outdoor Works (Black - 500ml)",ZeroSpace,39.99,16,4.4,7726,10,NO,46,OK
"13Oz ​​Insulated Travel Coffee Mug, Double-Wall Vacuum Coffee Cup with Leak-Proof Flip Lid, Stainless Steel Tumbler for Hot & Cold Drinks (Black, 380ML)",AvoKor,17.99,1,5,19053,7.8,NO,47,OK
"ESOLS Travel Coffee Mug, Double-wall Stainless Steel Thermal Cup, Vacuum Insulated Thermos with Tea Infuser and Leak Proof Twist Lid, 500 ML (Midnight Blue)",ESOLS,99.15,22,4.3,1926,9,NO,48,OK
"EcoOak Travel Coffee Mug | Reusable Insulated Coffee Mug | 350ml|12oz | Stainless Steel Coffee Tumbler, Gifts for Women Men Him Her (1, Black)",EcoOak,32.99,42,4.3,557,8.5,NO,49,OK
"Owala SmoothSip Insulated Stainless Steel Coffee Tumbler, Reusable Iced Coffee Cup, Hot Coffee Travel Mug, BPA Free, 10 oz, White (Cloudscape)",Owala,76.86,244,4.5,3152,7.05,NO,51,OK
WACACO Octaroma Classico Vacuum Insulated Coffee Mug (Yellow),WACACO,89,116,4.4,8277,8,NO,52,OK
"OBABO [Upgrade]Insulated Tumblers with Lid, 250ml Travel Coffee Mug Stainless Steel Vacuum Thermos Cup, Leak Proof Reusable Double Walled Coffee Tumbler for Iced and Hot Drinks (Black)",OBABO,23.38,1,4,3969,8,NO,53,OK
Simple Modern Travel Coffee Mug Tumbler with Flip Lid | Reusable Insulated Stainless Steel Cold Brew Iced Coffee Cup Thermos | Gifts for Women Men Him Her | Voyager Collection | 12oz | Almond Birch,Simple Modern,76.86,1451,4.6,2460,9,NO,54,OK
EMSA 513361 Travel Mug Black 0.36L,EMSA,88.11,12872,4.8,10043,6,NO,55,OK
"Volhoply 14oz Insulated Stainless Steel Coffee Mug with Leakproof Lid,Double Wall Vacuum Travel Coffe Cup with Handle,Reusable Cups Tumbler,Camping Mugs Keep Hot,Ideal Gifts(Army Green,1)",Volhoply,32.99,186,4.6,6658,8,NO,56,OK
"Volhoply 12oz Insulated Leakproof Coffee Mug with Flip & Straw Lid,Double Wall Vacuum Stainless Steel Travel Tumbler Cup with Handle,Reusable Camping Mugs Keep Cold/Hot(Dark Night,1 Set)",Volhoply,31.99,229,4.6,27227,8,NO,57,OK
"Emsa 515618 Travel Mug Large insulated drinking cup with Quick Press closure, 0.5 litres, blue",EMSA,97.82,11187,4.8,60827,7.1,NO,58,OK
"CLOUDFOUR Insulated Coffee Cup, 510 ml Thermal Tumbler for Hot & Cold Beverage, Reusable Vacuum Stainless Steel Travel Mug for Tea & Ice Drinks, Perfect for Office, Home, School, Outdoor & Car (Blue)",CLOUDFOUR,24.99,3,5,7337,7,NO,59,OK
Hssentials Travel Mug Insulated Coffee Mug 500ml Leakproof Lid Stainless Steel Portable Coffee Tumbler Keeps Drinks Hot/Cold for Hours Office Gym School College - Midnight Black,Hssentials,44,5,4.3,15178,9,NO,60,OK
"KNY Works Coffee Travel Mug 700ml – Stainless Steel Vacuum Insulated Tumbler with Lid & Reusable Straw, Double Wall Thermos Water Bottle for Hot & Cold Drinks, Iced Tea & Coffee (Black Stones)",KNY Works,120,9,4.6,39861,8,YES,61,OK
"BRAVE TempGuard Tumbler 950ml | 2-in-1 Leakproof Lid | 18/8 Stainless Steel Thermal Mug with Straw & Rotating Handle | Coffee Travel Mug, Car Cup Holder Compatible (Turquoise)",BRAVE,129,2,5,18499,8,YES,62,OK
"2 Pack of Travel Coffee Mug Stainless Steel Vacuum Ice and Hot Drinks Insulated Tumbler for Home Office Outdoor Works, 510ml (2 PACK WHITE & GREEN)",DAKEEN,39.99,2,5,15184,6.5,YES,63,OK
